: Profit: 27660.415799788992, Ticker: None, Trades: (74, 34, 40), Drawdown: -4.746441622, Stops: 44, Costs: 399.8742002110001 40, 100, 0.3, 2.5, 8, 25, 12, 0.1, False
: Profit: 27580.10182598199, Ticker: None, Trades: (73, 36, 37), Drawdown: -4.746441622, Stops: 39, Costs: 399.33817401799985 40, 80, 0.2, 3.0, 8, 10, 12, -0.1, False
: Profit: 27500.009730595997, Ticker: None, Trades: (72, 37, 35), Drawdown: -1108.4845350060002, Stops: 39, Costs: 391.32026940399993 80, 40, 0.3, 3.0, 8, 10, 12, 0.1, False
: Profit: 27492.67085111, Ticker: None, Trades: (56, 26, 30), Drawdown: -4.746441622, Stops: 31, Costs: 304.7891488899999 40, 100, 0.3, 3.0, 8, 25, 12, 0.3, False
: Profit: 27392.289100428992, Ticker: None, Trades: (66, 32, 34), Drawdown: -4.746441622, Stops: 38, Costs: 363.41089957099996 80, 60, 0.2, 3.0, 8, 10, 12, 0.3, False
: Profit: 27356.524435205, Ticker: None, Trades: (65, 32, 33), Drawdown: -4.746441622, Stops: 37, Costs: 357.575564795 80, 60, 0.2, 3.0, 8, 15, 12, 0.1, False
: Profit: 27343.338354856, Ticker: None, Trades: (53, 25, 28), Drawdown: -1738.9525135469999, Stops: 33, Costs: 297.93164514399996 60, 100, 0.3, 3.0, 8, 10, 12, 0.3, False
: Profit: 27325.789113771003, Ticker: None, Trades: (70, 35, 35), Drawdown: -982.0055043629997, Stops: 39, Costs: 381.86088622899996 60, 60, 0.3, 3.0, 8, 10, 12, 0.1, False
: Profit: 27300.283028084996, Ticker: None, Trades: (61, 29, 32), Drawdown: -982.0084330439996, Stops: 36, Costs: 332.39697191499994 40, 100, 0.2, 3.0, 8, 10, 12, 0.3, False
: Profit: 27213.796021742004, Ticker: None, Trades: (64, 33, 31), Drawdown: -4.773936507, Stops: 36, Costs: 354.75397825799996 60, 40, 0.3, 3.0, 8, 10, 12, 0.3, False
: Profit: 27197.788672424984, Ticker: None, Trades: (72, 39, 33), Drawdown: -2905.508023138002, Stops: 46, Costs: 377.7513275749999 80, 100, 0.2, 2.0, 8, 10, 12, 0.1, False
: Profit: 27183.445195216, Ticker: None, Trades: (80, 37, 43), Drawdown: -4.746441622, Stops: 41, Costs: 430.1948047839999 40, 100, 0.3, 3.0, 8, 15, 12, -0.1, False
: Profit: 27158.047866501005, Ticker: None, Trades: (80, 37, 43), Drawdown: -4.746441622, Stops: 41, Costs: 430.1721334989999 40, 100, 0.3, 3.0, 8, 10, 12, -0.1, False
: Profit: 27109.642348769008, Ticker: None, Trades: (67, 33, 34), Drawdown: -4.746441622, Stops: 37, Costs: 367.98765123099986 40, 60, 0.3, 3.0, 8, 15, 12, 0.1, False
: Profit: 26950.61708837, Ticker: None, Trades: (69, 33, 36), Drawdown: -4.746441622, Stops: 38, Costs: 380.3129116299999 60, 80, 0.2, 3.0, 8, 15, 12, 0.1, False
: Profit: 26950.59708837, Ticker: None, Trades: (69, 33, 36), Drawdown: -4.746441622, Stops: 38, Costs: 380.33291162999996 60, 80, 0.2, 3.0, 8, 10, 12, 0.1, False
: Profit: 26926.529677399998, Ticker: None, Trades: (54, 28, 26), Drawdown: -1659.3925135470013, Stops: 33, Costs: 294.1803225999999 80, 100, 0.3, 3.0, 8, 15, 12, 0.3, False
: Profit: 26890.989265199994, Ticker: None, Trades: (54, 28, 26), Drawdown: -1659.3925135470013, Stops: 33, Costs: 294.2007347999999 80, 100, 0.3, 3.0, 8, 10, 12, 0.3, False
: Profit: 26834.054624273984, Ticker: None, Trades: (69, 34, 35), Drawdown: -1341.2586557160012, Stops: 41, Costs: 366.855375726 80, 100, 0.3, 2.5, 8, 15, 12, 0.1, False
: Profit: 26830.082856981986, Ticker: None, Trades: (70, 36, 34), Drawdown: -2844.052847280002, Stops: 44, Costs: 369.40714301799994 80, 100, 0.2, 2.0, 8, 25, 12, 0.1, False
: Profit: 26813.977520072, Ticker: None, Trades: (66, 32, 34), Drawdown: -4.746441622, Stops: 38, Costs: 363.322479928 80, 60, 0.2, 3.0, 8, 10, 12, 0.1, False
: Profit: 26797.600862398995, Ticker: None, Trades: (68, 35, 33), Drawdown: -4.746441622, Stops: 37, Costs: 372.21913760099994 40, 100, 0.2, 3.0, 8, 25, 12, 0.1, False
: Profit: 26784.670300324997, Ticker: None, Trades: (65, 32, 33), Drawdown: -4.746441622, Stops: 37, Costs: 357.639699675 80, 60, 0.2, 3.0, 8, 15, 12, -0.1, False
: Profit: 26662.501047082987, Ticker: None, Trades: (63, 35, 28), Drawdown: -1459.395641817999, Stops: 32, Costs: 340.65895291699997 60, 100, 0.2, 3.0, 8, 25, 12, 0.1, False
: Profit: 26621.080336493997, Ticker: None, Trades: (71, 37, 34), Drawdown: -4.746441622, Stops: 37, Costs: 388.39966350599985 40, 80, 0.3, 3.0, 8, 25, 12, -0.1, False
: Profit: 26620.739952809996, Ticker: None, Trades: (72, 34, 38), Drawdown: -4.746441622, Stops: 39, Costs: 393.6100471899999 40, 80, 0.2, 3.0, 8, 15, 12, 0.1, False
: Profit: 26617.687870577993, Ticker: None, Trades: (69, 34, 35), Drawdown: -1341.2586557160012, Stops: 41, Costs: 366.812129422 80, 100, 0.3, 2.5, 8, 10, 12, 0.1, False
