: Profit: 23277.39672089999, Ticker: None, Trades: (45, 28, 17), Drawdown: -1955.1481435400028, Stops: 34, Costs: 175.7832791 40, 60, 0.2, 2.0, 12, 25, 12, -1, True
: Profit: 23277.39672089999, Ticker: None, Trades: (45, 28, 17), Drawdown: -1955.1481435400028, Stops: 34, Costs: 175.7832791 40, 60, 0.2, 2.0, 12, 25, 12, -1, True
: Profit: 23277.39672089999, Ticker: None, Trades: (45, 28, 17), Drawdown: -1955.1481435400028, Stops: 34, Costs: 175.7832791 40, 60, 0.2, 2.0, 12, 25, 12, -1, True
: Profit: 22912.21405118001, Ticker: None, Trades: (72, 35, 37), Drawdown: -2429.8600929600034, Stops: 64, Costs: 291.57594881999995 20, 5, 0.2, 1.5, 4, 10, 12, -1, True
: Profit: 22912.21405118001, Ticker: None, Trades: (72, 35, 37), Drawdown: -2429.8600929600034, Stops: 64, Costs: 291.57594881999995 20, 5, 0.2, 1.5, 4, 10, 12, -1, True
: Profit: 22912.21405118001, Ticker: None, Trades: (72, 35, 37), Drawdown: -2429.8600929600034, Stops: 64, Costs: 291.57594881999995 20, 5, 0.2, 1.5, 4, 10, 12, -1, True
: Profit: 22912.21405118001, Ticker: None, Trades: (72, 35, 37), Drawdown: -2429.8600929600034, Stops: 64, Costs: 291.57594881999995 20, 5, 0.3, 1.5, 4, 10, 12, -1, True
: Profit: 22912.21405118001, Ticker: None, Trades: (72, 35, 37), Drawdown: -2429.8600929600034, Stops: 64, Costs: 291.57594881999995 20, 5, 0.3, 1.5, 4, 10, 12, -1, True
: Profit: 22912.21405118001, Ticker: None, Trades: (72, 35, 37), Drawdown: -2429.8600929600034, Stops: 64, Costs: 291.57594881999995 20, 5, 0.3, 1.5, 4, 10, 12, -1, True
: Profit: 22897.64323120399, Ticker: None, Trades: (50, 31, 19), Drawdown: -401.3277941490013, Stops: 35, Costs: 202.07676879600004 80, 40, 0.2, 2.5, 8, 25, 12, -1, True
: Profit: 22897.64323120399, Ticker: None, Trades: (50, 31, 19), Drawdown: -401.3277941490013, Stops: 35, Costs: 202.07676879600004 80, 40, 0.2, 2.5, 8, 25, 12, -1, True
: Profit: 22897.64323120399, Ticker: None, Trades: (50, 31, 19), Drawdown: -401.3277941490013, Stops: 35, Costs: 202.07676879600004 80, 40, 0.2, 2.5, 8, 25, 12, -1, True
: Profit: 22791.048729659982, Ticker: None, Trades: (45, 27, 18), Drawdown: -1955.1481435400028, Stops: 35, Costs: 175.09127034000002 40, 60, 0.3, 2.0, 12, 25, 12, -1, True
: Profit: 22791.048729659982, Ticker: None, Trades: (45, 27, 18), Drawdown: -1955.1481435400028, Stops: 35, Costs: 175.09127034000002 40, 60, 0.3, 2.0, 12, 25, 12, -1, True
: Profit: 22791.048729659982, Ticker: None, Trades: (45, 27, 18), Drawdown: -1955.1481435400028, Stops: 35, Costs: 175.09127034000002 40, 60, 0.3, 2.0, 12, 25, 12, -1, True
: Profit: 22777.22769642899, Ticker: None, Trades: (43, 24, 19), Drawdown: -1528.8855183199998, Stops: 34, Costs: 165.38230357100002 40, 80, 0.2, 2.0, 12, 10, 12, -1, True
: Profit: 22777.22769642899, Ticker: None, Trades: (43, 24, 19), Drawdown: -1528.8855183199998, Stops: 34, Costs: 165.38230357100002 40, 80, 0.2, 2.0, 12, 10, 12, -1, True
: Profit: 22777.22769642899, Ticker: None, Trades: (43, 24, 19), Drawdown: -1528.8855183199998, Stops: 34, Costs: 165.38230357100002 40, 80, 0.2, 2.0, 12, 10, 12, -1, True
: Profit: 22761.929117772997, Ticker: None, Trades: (35, 20, 15), Drawdown: -2625.347782795002, Stops: 25, Costs: 135.040882227 60, 60, 0.3, 3.0, 12, 10, 12, -1, True
: Profit: 22761.929117772997, Ticker: None, Trades: (35, 20, 15), Drawdown: -2625.347782795002, Stops: 25, Costs: 135.040882227 60, 60, 0.3, 3.0, 12, 10, 12, -1, True
: Profit: 22761.929117772997, Ticker: None, Trades: (35, 20, 15), Drawdown: -2625.347782795002, Stops: 25, Costs: 135.040882227 60, 60, 0.3, 3.0, 12, 10, 12, -1, True
: Profit: 22706.177696428986, Ticker: None, Trades: (43, 24, 19), Drawdown: -1533.6955183199998, Stops: 34, Costs: 165.38230357100002 40, 80, 0.2, 2.0, 12, 15, 12, -1, True
: Profit: 22706.177696428986, Ticker: None, Trades: (43, 24, 19), Drawdown: -1533.6955183199998, Stops: 34, Costs: 165.38230357100002 40, 80, 0.2, 2.0, 12, 15, 12, -1, True
: Profit: 22706.177696428986, Ticker: None, Trades: (43, 24, 19), Drawdown: -1533.6955183199998, Stops: 34, Costs: 165.38230357100002 40, 80, 0.2, 2.0, 12, 15, 12, -1, True
: Profit: 22615.624305390014, Ticker: None, Trades: (30, 12, 18), Drawdown: -1805.1642362120003, Stops: 24, Costs: 127.33569461 9, 5, 0.1, 2.0, 8, 5, 12, -1, True
: Profit: 22615.624305390014, Ticker: None, Trades: (30, 12, 18), Drawdown: -1805.1642362120003, Stops: 24, Costs: 127.33569461 9, 5, 0.1, 2.0, 8, 5, 12, -1, True
